series,test,start,end,hours,min,max,before,after,classification
eisbach,range,2026-09-09 08:00:00+00:00,2026-09-09 08:00:00+00:00,1,154.4,154.4,19.1,19.1,instrument_or_encoding_fault
eisbach,hampel,2026-09-09 08:00:00+00:00,2026-09-09 08:00:00+00:00,1,154.4,154.4,19.1,19.1,undecidable_without_independent_evidence
eisbach,jump,2026-09-09 08:00:00+00:00,2026-09-09 09:00:00+00:00,2,19.1,154.4,19.1,19.0,undecidable_without_independent_evidence
eisbach,frozen,2010-07-07 17:00:00+00:00,2010-07-09 08:00:00+00:00,40,15.9,15.9,15.8,16.0,undecidable_without_independent_evidence
eisbach,frozen,2010-07-17 22:00:00+00:00,2010-07-19 07:00:00+00:00,34,18.0,18.0,17.9,17.9,undecidable_without_independent_evidence
eisbach,frozen,2010-07-21 14:00:00+00:00,2010-07-23 02:00:00+00:00,37,17.4,17.4,17.5,17.5,undecidable_without_independent_evidence
eisbach,frozen,2010-08-03 18:00:00+00:00,2010-08-04 18:00:00+00:00,25,15.6,15.6,15.5,15.7,undecidable_without_independent_evidence
eisbach,frozen,2010-08-08 10:00:00+00:00,2010-08-10 05:00:00+00:00,44,14.5,14.5,14.6,14.6,undecidable_without_independent_evidence
eisbach,frozen,2010-08-13 08:00:00+00:00,2010-08-14 11:00:00+00:00,28,15.0,15.0,14.9,15.1,undecidable_without_independent_evidence
eisbach,frozen,2010-08-14 16:00:00+00:00,2010-08-17 14:00:00+00:00,71,15.1,15.1,15.0,15.0,undecidable_without_independent_evidence
eisbach,frozen,2010-08-19 12:00:00+00:00,2010-08-21 15:00:00+00:00,52,14.7,14.7,14.8,14.8,undecidable_without_independent_evidence
eisbach,frozen,2010-09-03 18:00:00+00:00,2010-09-04 17:00:00+00:00,24,13.6,13.6,13.7,13.4,undecidable_without_independent_evidence
eisbach,frozen,2010-09-13 12:00:00+00:00,2010-09-14 16:00:00+00:00,29,13.4,13.4,13.3,13.3,undecidable_without_independent_evidence
eisbach,frozen,2010-09-15 21:00:00+00:00,2010-09-16 22:00:00+00:00,26,13.3,13.3,13.2,13.4,undecidable_without_independent_evidence
eisbach,frozen,2010-10-01 02:00:00+00:00,2010-10-02 11:00:00+00:00,34,12.1,12.1,12.0,12.0,undecidable_without_independent_evidence
eisbach,frozen,2010-10-02 12:00:00+00:00,2010-10-03 17:00:00+00:00,30,12.0,12.0,12.1,12.1,undecidable_without_independent_evidence
eisbach,frozen,2010-10-08 01:00:00+00:00,2010-10-09 03:00:00+00:00,27,13.1,13.1,13.0,13.0,undecidable_without_independent_evidence
eisbach,frozen,2010-10-15 08:00:00+00:00,2010-10-16 07:00:00+00:00,24,10.8,10.8,10.9,10.7,undecidable_without_independent_evidence
eisbach,frozen,2010-10-24 21:00:00+00:00,2010-10-25 20:00:00+00:00,24,9.1,9.1,9.2,9.0,undecidable_without_independent_evidence
eisbach,frozen,2010-10-27 17:00:00+00:00,2010-10-29 13:00:00+00:00,45,8.6,8.6,8.7,8.7,undecidable_without_independent_evidence
