series,year,grid_hours,measured,missing,median_observation_spacing_h
eisbach,2004,7321,54,7267,1.0
eisbach,2005,8760,0,8760,
eisbach,2006,8760,0,8760,
eisbach,2007,8760,0,8760,
eisbach,2008,8784,0,8784,
eisbach,2009,8760,0,8760,
eisbach,2010,8760,4215,4545,1.0
eisbach,2011,8760,8555,205,1.0
eisbach,2012,8784,2264,6520,1.0
eisbach,2013,8760,0,8760,
eisbach,2014,8760,6926,1834,1.0
eisbach,2015,8760,8749,11,1.0
eisbach,2016,8784,8774,10,1.0
eisbach,2017,8760,8716,44,1.0
eisbach,2018,8760,8739,21,1.0
eisbach,2019,8760,8756,4,1.0
eisbach,2020,8784,8743,41,1.0
eisbach,2021,8760,8716,44,1.0
eisbach,2022,8760,8720,40,1.0
eisbach,2023,8760,8757,3,1.0
eisbach,2024,8784,8781,3,1.0
eisbach,2025,8760,8756,4,1.0
eisbach,2026,6164,6163,1,1.0
isar_toelz,2007,1009,993,16,1.0
isar_toelz,2008,8784,8702,82,1.0
isar_toelz,2009,8760,8746,14,1.0
isar_toelz,2010,8760,8746,14,1.0
isar_toelz,2011,8760,8733,27,1.0
isar_toelz,2012,8784,8760,24,1.0
isar_toelz,2013,8760,8738,22,1.0
isar_toelz,2014,8760,8756,4,1.0
isar_toelz,2015,8760,8755,5,1.0
isar_toelz,2016,8784,8758,26,1.0
isar_toelz,2017,8760,8743,17,1.0
isar_toelz,2018,8760,8727,33,1.0
isar_toelz,2019,8760,8736,24,1.0
isar_toelz,2020,8784,8695,89,1.0
isar_toelz,2021,8760,8733,27,1.0
isar_toelz,2022,8760,8747,13,1.0
isar_toelz,2023,8760,8721,39,1.0
isar_toelz,2024,8784,8716,68,1.0
isar_toelz,2025,8760,8733,27,1.0
isar_toelz,2026,6164,6144,20,1.0
loisach_beuerberg,1980,1465,61,1404,24.0
loisach_beuerberg,1981,8760,365,8395,24.0
loisach_beuerberg,1982,8760,365,8395,24.0
loisach_beuerberg,1983,8760,365,8395,24.0
loisach_beuerberg,1984,8784,366,8418,24.0
loisach_beuerberg,1985,8760,365,8395,24.0
loisach_beuerberg,1986,8760,365,8395,24.0
loisach_beuerberg,1987,8760,364,8396,24.0
loisach_beuerberg,1988,8784,366,8418,24.0
loisach_beuerberg,1989,8760,365,8395,24.0
loisach_beuerberg,1990,8760,364,8396,24.0
loisach_beuerberg,1991,8760,363,8397,24.0
loisach_beuerberg,1992,8784,366,8418,24.0
loisach_beuerberg,1993,8760,365,8395,24.0
loisach_beuerberg,1994,8760,365,8395,24.0
loisach_beuerberg,1995,8760,365,8395,24.0
loisach_beuerberg,1996,8784,366,8418,24.0
loisach_beuerberg,1997,8760,365,8395,24.0
loisach_beuerberg,1998,8760,365,8395,24.0
loisach_beuerberg,1999,8760,365,8395,24.0
loisach_beuerberg,2000,8784,366,8418,24.0
loisach_beuerberg,2001,8760,365,8395,24.0
loisach_beuerberg,2002,8760,365,8395,24.0
loisach_beuerberg,2003,8760,365,8395,24.0
loisach_beuerberg,2004,8784,366,8418,24.0
loisach_beuerberg,2005,8760,366,8394,24.0
loisach_beuerberg,2006,8760,365,8395,24.0
loisach_beuerberg,2007,8760,327,8433,24.0
loisach_beuerberg,2008,8784,6763,2021,1.0
loisach_beuerberg,2009,8760,8744,16,1.0
loisach_beuerberg,2010,8760,8757,3,1.0
loisach_beuerberg,2011,8760,8748,12,1.0
loisach_beuerberg,2012,8784,8772,12,1.0
loisach_beuerberg,2013,8760,8748,12,1.0
loisach_beuerberg,2014,8760,8756,4,1.0
loisach_beuerberg,2015,8760,8729,31,1.0
loisach_beuerberg,2016,8784,8781,3,1.0
loisach_beuerberg,2017,8760,8748,12,1.0
loisach_beuerberg,2018,8760,8721,39,1.0
loisach_beuerberg,2019,8760,8742,18,1.0
loisach_beuerberg,2020,8784,8770,14,1.0
loisach_beuerberg,2021,8760,8703,57,1.0
loisach_beuerberg,2022,8760,8757,3,1.0
loisach_beuerberg,2023,8760,8735,25,1.0
loisach_beuerberg,2024,8784,8744,40,1.0
loisach_beuerberg,2025,8760,8728,32,1.0
loisach_beuerberg,2026,6164,6147,17,1.0
airtemp,2010,8760,8760,0,1.0
airtemp,2011,8760,8760,0,1.0
airtemp,2012,8784,8784,0,1.0
airtemp,2013,8760,8760,0,1.0
airtemp,2014,8760,8760,0,1.0
airtemp,2015,8760,8760,0,1.0
airtemp,2016,8784,8760,24,1.0
airtemp,2017,8760,8760,0,1.0
airtemp,2018,8760,8760,0,1.0
airtemp,2019,8760,8760,0,1.0
airtemp,2020,8784,8784,0,1.0
airtemp,2021,8760,8760,0,1.0
airtemp,2022,8760,8760,0,1.0
airtemp,2023,8760,8760,0,1.0
airtemp,2024,8784,8780,4,1.0
airtemp,2025,8760,8688,72,1.0
airtemp,2026,6164,6164,0,1.0
t_catchment,2010,8760,8760,0,1.0
t_catchment,2011,8760,8760,0,1.0
t_catchment,2012,8784,8784,0,1.0
t_catchment,2013,8760,8760,0,1.0
t_catchment,2014,8760,8744,16,1.0
t_catchment,2015,8760,8760,0,1.0
t_catchment,2016,8784,8784,0,1.0
t_catchment,2017,8760,8753,7,1.0
t_catchment,2018,8760,8760,0,1.0
t_catchment,2019,8760,8760,0,1.0
t_catchment,2020,8784,8744,40,1.0
t_catchment,2021,8760,8758,2,1.0
t_catchment,2022,8760,8732,28,1.0
t_catchment,2023,8760,8754,6,1.0
t_catchment,2024,8784,8713,71,1.0
t_catchment,2025,8760,8749,11,1.0
t_catchment,2026,6164,6164,0,1.0
rain_toelz,2010,8760,8760,0,1.0
rain_toelz,2011,8760,8759,1,1.0
rain_toelz,2012,8784,8599,185,1.0
rain_toelz,2013,8760,8760,0,1.0
rain_toelz,2014,8760,8760,0,1.0
rain_toelz,2015,8760,8760,0,1.0
rain_toelz,2016,8784,8783,1,1.0
rain_toelz,2017,8760,8752,8,1.0
rain_toelz,2018,8760,8760,0,1.0
rain_toelz,2019,8760,8760,0,1.0
rain_toelz,2020,8784,8761,23,1.0
rain_toelz,2021,8760,8650,110,1.0
rain_toelz,2022,8760,8747,13,1.0
rain_toelz,2023,8760,8742,18,1.0
rain_toelz,2024,8784,8784,0,1.0
rain_toelz,2025,8760,8760,0,1.0
rain_toelz,2026,6164,6144,20,1.0
rain_lenggries,2010,8760,8759,1,1.0
rain_lenggries,2011,8760,8760,0,1.0
rain_lenggries,2012,8784,8442,342,1.0
rain_lenggries,2013,8760,8748,12,1.0
rain_lenggries,2014,8760,8760,0,1.0
rain_lenggries,2015,8760,8565,195,1.0
rain_lenggries,2016,8784,8784,0,1.0
rain_lenggries,2017,8760,8760,0,1.0
rain_lenggries,2018,8760,8608,152,1.0
rain_lenggries,2019,8760,8651,109,1.0
rain_lenggries,2020,8784,8784,0,1.0
rain_lenggries,2021,8760,8667,93,1.0
rain_lenggries,2022,8760,8648,112,1.0
