timestamp,raw_value,raw_min,raw_max,samples,duplicate_count,conflict,source_id
2021-07-01T00Z,12.1,,,1,,,46586
2021-07-01T01Z,11.8,,,1,,,46586
2021-07-01T02Z,11.7,,,1,,,46586
2021-07-01T03Z,12.1,,,1,,,46586
2021-07-01T04Z,12.2,,,1,,,46586
2021-07-01T05Z,12.3,,,1,,,46586
2021-07-01T06Z,12.3,,,1,,,46586
2021-07-01T07Z,12.9,,,1,,,46586
2021-07-01T08Z,13.5,,,1,,,46586
2021-07-01T09Z,14.0,,,1,,,46586
2021-07-01T10Z,14.4,,,1,,,46586
2021-07-01T11Z,15.4,,,1,,,46586
2021-07-01T12Z,16.1,,,1,,,46586
2021-07-01T13Z,15.3,,,1,,,46586
2021-07-01T14Z,15.9,,,1,,,46586
2021-07-01T15Z,13.2,,,1,,,46586
2021-07-01T16Z,14.2,,,1,,,46586
2021-07-01T17Z,14.9,,,1,,,46586
2021-07-01T18Z,14.9,,,1,,,46586
2021-07-01T19Z,14.4,,,1,,,46586
2021-07-01T20Z,14.1,,,1,,,46586
2021-07-01T21Z,14.2,,,1,,,46586
2021-07-01T22Z,14.2,,,1,,,46586
2021-07-01T23Z,13.6,,,1,,,46586
2021-07-02T00Z,13.7,,,1,,,46586
2021-07-02T01Z,13.4,,,1,,,46586
2021-07-02T02Z,13.5,,,1,,,46586
2021-07-02T03Z,13.0,,,1,,,46586
2021-07-02T04Z,13.3,,,1,,,46586
2021-07-02T05Z,13.7,,,1,,,46586
2021-07-02T06Z,14.5,,,1,,,46586
2021-07-02T07Z,15.5,,,1,,,46586
2021-07-02T08Z,15.9,,,1,,,46586
2021-07-02T09Z,18.1,,,1,,,46586
2021-07-02T10Z,18.5,,,1,,,46586
2021-07-02T11Z,19.9,,,1,,,46586
2021-07-02T12Z,20.5,,,1,,,46586
2021-07-02T13Z,20.7,,,1,,,46586
2021-07-02T14Z,21.5,,,1,,,46586
2021-07-02T15Z,22.2,,,1,,,46586
2021-07-02T16Z,21.7,,,1,,,46586
2021-07-02T17Z,21.0,,,1,,,46586
2021-07-02T18Z,20.2,,,1,,,46586
2021-07-02T19Z,18.9,,,1,,,46586
2021-07-02T20Z,16.8,,,1,,,46586
2021-07-02T21Z,15.3,,,1,,,46586
2021-07-02T22Z,16.0,,,1,,,46586
2021-07-02T23Z,16.2,,,1,,,46586
2021-07-03T00Z,14.1,,,1,,,46586
2021-07-03T01Z,13.4,,,1,,,46586
2021-07-03T02Z,13.1,,,1,,,46586
2021-07-03T03Z,12.3,,,1,,,46586
2021-07-03T04Z,11.8,,,1,,,46586
2021-07-03T05Z,14.6,,,1,,,46586
2021-07-03T06Z,15.5,,,1,,,46586
