timestamp,raw_value,raw_min,raw_max,samples,duplicate_count,conflict,source_id,station,unit
2026-09-01 00:00:00+00:00,17.2,17.2,17.2,1,0,0,46586,03379,degC
2026-09-01 01:00:00+00:00,16.3,16.3,16.3,1,0,0,46586,03379,degC
2026-09-01 02:00:00+00:00,17.0,17.0,17.0,1,0,0,46586,03379,degC
2026-09-01 03:00:00+00:00,16.4,16.4,16.4,1,0,0,46586,03379,degC
2026-09-01 04:00:00+00:00,15.2,15.2,15.2,1,0,0,46586,03379,degC
2026-09-01 05:00:00+00:00,15.1,15.1,15.1,1,0,0,46586,03379,degC
2026-09-01 06:00:00+00:00,16.0,16.0,16.0,1,0,0,46586,03379,degC
2026-09-01 07:00:00+00:00,18.5,18.5,18.5,1,0,0,46586,03379,degC
2026-09-01 08:00:00+00:00,20.7,20.7,20.7,1,0,0,46586,03379,degC
2026-09-01 09:00:00+00:00,21.9,21.9,21.9,1,0,0,46586,03379,degC
2026-09-01 10:00:00+00:00,21.8,21.8,21.8,1,0,0,46586,03379,degC
2026-09-01 11:00:00+00:00,22.9,22.9,22.9,1,0,0,46586,03379,degC
2026-09-01 12:00:00+00:00,23.6,23.6,23.6,1,0,0,46586,03379,degC
2026-09-01 13:00:00+00:00,22.6,22.6,22.6,1,0,0,46586,03379,degC
2026-09-01 14:00:00+00:00,24.3,24.3,24.3,1,0,0,46586,03379,degC
2026-09-01 15:00:00+00:00,24.1,24.1,24.1,1,0,0,46586,03379,degC
2026-09-01 16:00:00+00:00,23.4,23.4,23.4,1,0,0,46586,03379,degC
2026-09-01 17:00:00+00:00,22.4,22.4,22.4,1,0,0,46586,03379,degC
2026-09-01 18:00:00+00:00,20.9,20.9,20.9,1,0,0,46586,03379,degC
2026-09-01 19:00:00+00:00,18.4,18.4,18.4,1,0,0,46586,03379,degC
2026-09-01 20:00:00+00:00,17.1,17.1,17.1,1,0,0,46586,03379,degC
2026-09-01 21:00:00+00:00,16.5,16.5,16.5,1,0,0,46586,03379,degC
2026-09-01 22:00:00+00:00,15.8,15.8,15.8,1,0,0,46586,03379,degC
2026-09-01 23:00:00+00:00,15.1,15.1,15.1,1,0,0,46586,03379,degC
2026-09-02 00:00:00+00:00,14.7,14.7,14.7,1,0,0,46586,03379,degC
2026-09-02 01:00:00+00:00,13.9,13.9,13.9,1,0,0,46586,03379,degC
2026-09-02 02:00:00+00:00,13.5,13.5,13.5,1,0,0,46586,03379,degC
2026-09-02 03:00:00+00:00,13.6,13.6,13.6,1,0,0,46586,03379,degC
2026-09-02 04:00:00+00:00,12.5,12.5,12.5,1,0,0,46586,03379,degC
2026-09-02 05:00:00+00:00,12.5,12.5,12.5,1,0,0,46586,03379,degC
2026-09-02 06:00:00+00:00,15.1,15.1,15.1,1,0,0,46586,03379,degC
