timestamp,raw_value,raw_mean,raw_min,raw_max,samples,duplicate_count,conflict
2025-04-01T00Z,5.9,5.825,5.8,,4,,
2025-04-01T01Z,5.8,5.75,5.7,,4,,
2025-04-01T02Z,5.7,5.675,5.6,,4,,
2025-04-01T03Z,5.6,5.6,,,4,,
2025-04-01T04Z,5.6,5.574999999999999,5.5,,4,,
2025-04-01T05Z,5.5,5.4,5.3,,4,,
2025-04-01T06Z,5.3,5.25,5.2,,4,,
2025-04-01T07Z,5.3,5.3,,,4,,
2025-04-01T08Z,5.3,5.325,,5.4,4,,
2025-04-01T09Z,5.4,5.475,,5.6,4,,
2025-04-01T10Z,5.7,5.875,,6.1,4,,
2025-04-01T11Z,6.2,6.425,,6.6,4,,
2025-04-01T12Z,6.7,6.775,,6.8,4,,
2025-04-01T13Z,6.8,6.875,,7.0,4,,
2025-04-01T14Z,7.1,7.325,,7.5,4,,
2025-04-01T15Z,7.6,7.65,,7.7,4,,
2025-04-01T16Z,7.7,7.6,7.5,,4,,
2025-04-01T17Z,7.5,7.35,7.2,,4,,
2025-04-01T18Z,7.2,7.1,7.0,,4,,
2025-04-01T19Z,7.0,6.9,6.8,,4,,
2025-04-01T20Z,6.8,6.7,6.6,,4,,
2025-04-01T21Z,6.6,6.525,6.5,,4,,
2025-04-01T22Z,6.5,6.4,6.3,,4,,
2025-04-01T23Z,6.3,6.25,6.2,,4,,
2025-04-02T00Z,6.1,6.074999999999999,6.0,,4,,
2025-04-02T01Z,6.0,5.95,5.9,,4,,
2025-04-02T02Z,5.8,5.775,5.7,,4,,
2025-04-02T03Z,5.7,5.625,5.6,,4,,
2025-04-02T04Z,5.5,5.5,,,4,,
2025-04-02T05Z,5.5,5.525,,5.6,4,,
2025-04-02T06Z,5.6,5.625,,5.7,4,,
2025-04-02T07Z,5.7,5.775,,5.9,4,,
2025-04-02T08Z,5.9,6.125,,6.3,4,,
2025-04-02T09Z,6.5,6.75,,7.0,4,,
2025-04-02T10Z,7.2,7.5,,7.8,4,,
2025-04-02T11Z,8.0,8.3,,8.6,4,,
2025-04-02T12Z,8.7,9.0,,9.3,4,,
2025-04-02T13Z,9.4,9.55,,9.7,4,,
2025-04-02T14Z,9.8,9.925,,10.0,4,,
2025-04-02T15Z,10.0,9.925,9.9,,4,,
2025-04-02T16Z,9.9,9.825,9.8,,4,,
2025-04-02T17Z,9.7,9.675,9.6,,4,,
2025-04-02T18Z,9.5,9.425,9.3,,4,,
2025-04-02T19Z,9.2,9.05,8.9,,4,,
2025-04-02T20Z,8.8,8.625,8.4,,4,,
2025-04-02T21Z,8.3,8.125,7.9,,4,,
2025-04-02T22Z,7.8,7.65,7.5,,4,,
2025-04-02T23Z,7.3,7.15,7.0,,4,,
2025-04-03T00Z,6.9,6.75,6.6,,4,,
2025-04-03T01Z,6.6,6.475,6.4,,4,,
2025-04-03T02Z,6.3,6.25,6.2,,4,,
2025-04-03T03Z,6.1,6.05,6.0,,4,,
2025-04-03T04Z,5.9,5.875,5.8,,4,,
2025-04-03T05Z,5.8,5.775,5.7,,4,,
2025-04-03T06Z,5.7,5.7,,,4,,
2025-04-03T07Z,5.8,5.9,,6.0,4,,
2025-04-03T08Z,6.1,6.3,,6.5,4,,
