timestamp,raw_value,raw_mean,raw_min,raw_max,samples,duplicate_count,conflict,station,unit
2026-09-01 00:00:00+00:00,14.2,14.1,14.0,14.2,4,0,0,bad-toelz-b472-16003207,degC
2026-09-01 01:00:00+00:00,14.0,13.9,13.8,14.0,4,0,0,bad-toelz-b472-16003207,degC
2026-09-01 02:00:00+00:00,13.8,13.7,13.6,13.8,4,0,0,bad-toelz-b472-16003207,degC
2026-09-01 03:00:00+00:00,13.6,13.525,13.5,13.6,4,0,0,bad-toelz-b472-16003207,degC
2026-09-01 04:00:00+00:00,13.4,13.375,13.3,13.4,4,0,0,bad-toelz-b472-16003207,degC
2026-09-01 05:00:00+00:00,13.3,13.25,13.2,13.3,4,0,0,bad-toelz-b472-16003207,degC
2026-09-01 06:00:00+00:00,13.2,13.149999999999999,13.1,13.2,4,0,0,bad-toelz-b472-16003207,degC
2026-09-01 07:00:00+00:00,13.1,13.149999999999999,13.1,13.2,4,0,0,bad-toelz-b472-16003207,degC
2026-09-01 08:00:00+00:00,13.2,13.3,13.2,13.4,4,0,0,bad-toelz-b472-16003207,degC
2026-09-01 09:00:00+00:00,13.5,13.65,13.5,13.8,4,0,0,bad-toelz-b472-16003207,degC
2026-09-01 10:00:00+00:00,13.9,14.05,13.9,14.2,4,0,0,bad-toelz-b472-16003207,degC
2026-09-01 11:00:00+00:00,14.3,14.525,14.3,14.7,4,0,0,bad-toelz-b472-16003207,degC
2026-09-01 12:00:00+00:00,14.9,15.1,14.9,15.3,4,0,0,bad-toelz-b472-16003207,degC
2026-09-01 13:00:00+00:00,15.4,15.5,15.4,15.6,4,0,0,bad-toelz-b472-16003207,degC
2026-09-01 14:00:00+00:00,15.7,15.85,15.7,16.0,4,0,0,bad-toelz-b472-16003207,degC
2026-09-01 15:00:00+00:00,16.0,16.075000000000003,16.0,16.1,4,0,0,bad-toelz-b472-16003207,degC
2026-09-01 16:00:00+00:00,16.2,16.25,16.2,16.3,4,0,0,bad-toelz-b472-16003207,degC
2026-09-01 17:00:00+00:00,16.3,16.275,16.2,16.3,4,0,0,bad-toelz-b472-16003207,degC
2026-09-01 18:00:00+00:00,16.2,16.15,16.1,16.2,4,0,0,bad-toelz-b472-16003207,degC
2026-09-01 19:00:00+00:00,16.0,15.95,15.9,16.0,4,0,0,bad-toelz-b472-16003207,degC
2026-09-01 20:00:00+00:00,15.8,15.675,15.6,15.8,4,0,0,bad-toelz-b472-16003207,degC
2026-09-01 21:00:00+00:00,15.5,15.35,15.2,15.5,4,0,0,bad-toelz-b472-16003207,degC
2026-09-01 22:00:00+00:00,15.1,14.95,14.8,15.1,4,0,0,bad-toelz-b472-16003207,degC
2026-09-01 23:00:00+00:00,14.7,14.55,14.4,14.7,4,0,0,bad-toelz-b472-16003207,degC
2026-09-02 00:00:00+00:00,14.3,14.225,14.1,14.3,4,0,0,bad-toelz-b472-16003207,degC
2026-09-02 01:00:00+00:00,14.0,13.875,13.8,14.0,4,0,0,bad-toelz-b472-16003207,degC
2026-09-02 02:00:00+00:00,13.7,13.6,13.5,13.7,4,0,0,bad-toelz-b472-16003207,degC
2026-09-02 03:00:00+00:00,13.5,13.375,13.3,13.5,4,0,0,bad-toelz-b472-16003207,degC
2026-09-02 04:00:00+00:00,13.2,13.149999999999999,13.1,13.2,4,0,0,bad-toelz-b472-16003207,degC
2026-09-02 05:00:00+00:00,13.1,13.0,12.9,13.1,4,0,0,bad-toelz-b472-16003207,degC
2026-09-02 06:00:00+00:00,12.9,12.9,12.9,12.9,4,0,0,bad-toelz-b472-16003207,degC
2026-09-02 07:00:00+00:00,12.8,12.875,12.8,12.9,4,0,0,bad-toelz-b472-16003207,degC
2026-09-02 08:00:00+00:00,13.0,13.075,13.0,13.2,4,0,0,bad-toelz-b472-16003207,degC
2026-09-02 09:00:00+00:00,13.2,13.35,13.2,13.5,4,0,0,bad-toelz-b472-16003207,degC
