timestamp,raw_value,raw_min,raw_max,samples,duplicate_count,conflict,source_id
2018-05-01T00Z,0.0,,,1,,,46579
2018-05-01T01Z,0.0,,,1,,,46579
2018-05-01T02Z,0.0,,,1,,,46579
2018-05-01T03Z,0.0,,,1,,,46579
2018-05-01T04Z,0.001,,,1,,,46579
2018-05-01T05Z,0.012,,,1,,,46579
2018-05-01T06Z,0.074,,,1,,,46579
2018-05-01T07Z,0.125,,,1,,,46579
2018-05-01T08Z,0.278,,,1,,,46579
2018-05-01T09Z,0.126,,,1,,,46579
2018-05-01T10Z,0.127,,,1,,,46579
2018-05-01T11Z,0.286,,,1,,,46579
2018-05-01T12Z,0.43,,,1,,,46579
2018-05-01T13Z,0.205,,,1,,,46579
2018-05-01T14Z,0.345,,,1,,,46579
2018-05-01T15Z,0.307,,,1,,,46579
2018-05-01T16Z,0.123,,,1,,,46579
2018-05-01T17Z,0.065,,,1,,,46579
2018-05-01T18Z,0.028,,,1,,,46579
2018-05-01T19Z,0.003,,,1,,,46579
2018-05-01T20Z,0.0,,,1,,,46579
2018-05-01T21Z,0.0,,,1,,,46579
2018-05-01T22Z,0.0,,,1,,,46579
2018-05-01T23Z,0.0,,,1,,,46579
2018-05-02T00Z,0.0,,,1,,,46579
2018-05-02T01Z,0.0,,,1,,,46579
2018-05-02T02Z,0.0,,,1,,,46579
2018-05-02T03Z,0.0,,,1,,,46579
2018-05-02T04Z,0.0,,,1,,,46579
2018-05-02T05Z,0.021,,,1,,,46579
2018-05-02T06Z,0.082,,,1,,,46579
2018-05-02T07Z,0.147,,,1,,,46579
2018-05-02T08Z,0.215,,,1,,,46579
2018-05-02T09Z,0.242,,,1,,,46579
2018-05-02T10Z,0.266,,,1,,,46579
2018-05-02T11Z,0.401,,,1,,,46579
2018-05-02T12Z,0.526,,,1,,,46579
2018-05-02T13Z,0.557,,,1,,,46579
2018-05-02T14Z,0.457,,,1,,,46579
2018-05-02T15Z,0.331,,,1,,,46579
2018-05-02T16Z,0.279,,,1,,,46579
2018-05-02T17Z,0.184,,,1,,,46579
2018-05-02T18Z,0.073,,,1,,,46579
2018-05-02T19Z,0.01,,,1,,,46579
2018-05-02T20Z,0.0,,,1,,,46579
2018-05-02T21Z,0.0,,,1,,,46579
2018-05-02T22Z,0.0,,,1,,,46579
2018-05-02T23Z,0.0,,,1,,,46579
2018-05-03T00Z,0.0,,,1,,,46579
2018-05-03T01Z,0.0,,,1,,,46579
2018-05-03T02Z,0.0,,,1,,,46579
2018-05-03T03Z,0.0,,,1,,,46579
2018-05-03T04Z,0.0,,,1,,,46579
2018-05-03T05Z,0.005,,,1,,,46579
2018-05-03T06Z,0.027,,,1,,,46579
2018-05-03T07Z,0.07,,,1,,,46579
2018-05-03T08Z,0.168,,,1,,,46579
2018-05-03T09Z,0.294,,,1,,,46579
2018-05-03T10Z,0.453,,,1,,,46579
2018-05-03T11Z,0.643,,,1,,,46579
2018-05-03T12Z,0.584,,,1,,,46579
2018-05-03T13Z,0.539,,,1,,,46579
2018-05-03T14Z,0.287,,,1,,,46579
2018-05-03T15Z,0.331,,,1,,,46579
2018-05-03T16Z,0.128,,,1,,,46579
2018-05-03T17Z,0.042,,,1,,,46579
2018-05-03T18Z,0.022,,,1,,,46579
2018-05-03T19Z,0.001,,,1,,,46579
2018-05-03T20Z,0.0,,,1,,,46579
2018-05-03T21Z,0.0,,,1,,,46579
2018-05-03T22Z,0.0,,,1,,,46579
2018-05-03T23Z,0.0,,,1,,,46579
2018-05-04T00Z,0.0,,,1,,,46579
2018-05-04T01Z,0.0,,,1,,,46579
2018-05-04T02Z,0.0,,,1,,,46579
2018-05-04T03Z,0.0,,,1,,,46579
2018-05-04T04Z,0.001,,,1,,,46579
2018-05-04T05Z,0.009,,,1,,,46579
2018-05-04T06Z,0.019,,,1,,,46579
2018-05-04T07Z,0.043,,,1,,,46579
2018-05-04T08Z,0.071,,,1,,,46579
2018-05-04T09Z,0.075,,,1,,,46579
2018-05-04T10Z,0.092,,,1,,,46579
2018-05-04T11Z,0.176,,,1,,,46579
2018-05-04T12Z,0.159,,,1,,,46579
2018-05-04T13Z,0.102,,,1,,,46579
2018-05-04T14Z,0.136,,,1,,,46579
2018-05-04T15Z,0.107,,,1,,,46579
2018-05-04T16Z,0.09,,,1,,,46579
2018-05-04T17Z,0.097,,,1,,,46579
2018-05-04T18Z,0.061,,,1,,,46579
2018-05-04T19Z,0.014,,,1,,,46579
2018-05-04T20Z,0.0,,,1,,,46579
2018-05-04T21Z,0.0,,,1,,,46579
2018-05-04T22Z,0.0,,,1,,,46579
2018-05-04T23Z,0.0,,,1,,,46579
2018-05-05T00Z,0.0,,,1,,,46579
2018-05-05T01Z,0.0,,,1,,,46579
2018-05-05T02Z,0.0,,,1,,,46579
2018-05-05T03Z,0.0,,,1,,,46579
2018-05-05T04Z,0.0,,,1,,,46579
2018-05-05T05Z,0.004,,,1,,,46579
2018-05-05T06Z,0.019,,,1,,,46579
2018-05-05T07Z,0.055,,,1,,,46579
2018-05-05T08Z,0.097,,,1,,,46579
2018-05-05T09Z,0.184,,,1,,,46579
2018-05-05T10Z,0.47,,,1,,,46579
2018-05-05T11Z,0.738,,,1,,,46579
2018-05-05T12Z,0.645,,,1,,,46579
2018-05-05T13Z,0.818,,,1,,,46579
2018-05-05T14Z,0.582,,,1,,,46579
2018-05-05T15Z,0.566,,,1,,,46579
2018-05-05T16Z,0.433,,,1,,,46579
2018-05-05T17Z,0.187,,,1,,,46579
2018-05-05T18Z,0.072,,,1,,,46579
2018-05-05T19Z,0.009,,,1,,,46579
2018-05-05T20Z,0.0,,,1,,,46579
2018-05-05T21Z,0.0,,,1,,,46579
2018-05-05T22Z,0.0,,,1,,,46579
2018-05-05T23Z,0.0,,,1,,,46579
2018-05-06T00Z,0.0,,,1,,,46579
2018-05-06T01Z,0.0,,,1,,,46579
2018-05-06T02Z,0.0,,,1,,,46579
2018-05-06T03Z,0.0,,,1,,,46579
2018-05-06T04Z,0.0,,,1,,,46579
2018-05-06T05Z,0.007,,,1,,,46579
2018-05-06T06Z,0.046,,,1,,,46579
2018-05-06T07Z,0.088,,,1,,,46579
2018-05-06T08Z,0.189,,,1,,,46579
2018-05-06T09Z,0.291,,,1,,,46579
2018-05-06T10Z,0.605,,,1,,,46579
2018-05-06T11Z,0.874,,,1,,,46579
2018-05-06T12Z,0.892,,,1,,,46579
2018-05-06T13Z,0.866,,,1,,,46579
2018-05-06T14Z,0.785,,,1,,,46579
2018-05-06T15Z,0.66,,,1,,,46579
2018-05-06T16Z,0.502,,,1,,,46579
2018-05-06T17Z,0.322,,,1,,,46579
2018-05-06T18Z,0.149,,,1,,,46579
2018-05-06T19Z,0.023,,,1,,,46579
2018-05-06T20Z,0.0,,,1,,,46579
2018-05-06T21Z,0.0,,,1,,,46579
2018-05-06T22Z,0.0,,,1,,,46579
2018-05-06T23Z,0.0,,,1,,,46579
2018-05-07T00Z,0.0,,,1,,,46579
2018-05-07T01Z,0.0,,,1,,,46579
2018-05-07T02Z,0.0,,,1,,,46579
2018-05-07T03Z,0.0,,,1,,,46579
2018-05-07T04Z,0.001,,,1,,,46579
2018-05-07T05Z,0.046,,,1,,,46579
2018-05-07T06Z,0.188,,,1,,,46579
2018-05-07T07Z,0.369,,,1,,,46579
2018-05-07T08Z,0.545,,,1,,,46579
2018-05-07T09Z,0.699,,,1,,,46579
2018-05-07T10Z,0.816,,,1,,,46579
2018-05-07T11Z,0.886,,,1,,,46579
2018-05-07T12Z,0.906,,,1,,,46579
2018-05-07T13Z,0.873,,,1,,,46579
2018-05-07T14Z,0.789,,,1,,,46579
2018-05-07T15Z,0.601,,,1,,,46579
2018-05-07T16Z,0.325,,,1,,,46579
2018-05-07T17Z,0.255,,,1,,,46579
2018-05-07T18Z,0.144,,,1,,,46579
2018-05-07T19Z,0.016,,,1,,,46579
2018-05-07T20Z,0.0,,,1,,,46579
2018-05-07T21Z,0.0,,,1,,,46579
2018-05-07T22Z,0.0,,,1,,,46579
2018-05-07T23Z,0.0,,,1,,,46579
2018-05-08T00Z,0.0,,,1,,,46579
2018-05-08T01Z,0.0,,,1,,,46579
2018-05-08T02Z,0.0,,,1,,,46579
2018-05-08T03Z,0.0,,,1,,,46579
2018-05-08T04Z,0.001,,,1,,,46579
2018-05-08T05Z,0.05,,,1,,,46579
2018-05-08T06Z,0.193,,,1,,,46579
2018-05-08T07Z,0.372,,,1,,,46579
2018-05-08T08Z,0.547,,,1,,,46579
2018-05-08T09Z,0.693,,,1,,,46579
2018-05-08T10Z,0.817,,,1,,,46579
2018-05-08T11Z,0.892,,,1,,,46579
2018-05-08T12Z,0.918,,,1,,,46579
2018-05-08T13Z,0.903,,,1,,,46579
2018-05-08T14Z,0.81,,,1,,,46579
2018-05-08T15Z,0.672,,,1,,,46579
2018-05-08T16Z,0.481,,,1,,,46579
2018-05-08T17Z,0.333,,,1,,,46579
2018-05-08T18Z,0.158,,,1,,,46579
2018-05-08T19Z,0.028,,,1,,,46579
2018-05-08T20Z,0.0,,,1,,,46579
2018-05-08T21Z,0.0,,,1,,,46579
2018-05-08T22Z,0.0,,,1,,,46579
2018-05-08T23Z,0.0,,,1,,,46579
2018-05-09T00Z,0.0,,,1,,,46579
2018-05-09T01Z,0.0,,,1,,,46579
2018-05-09T02Z,0.0,,,1,,,46579
2018-05-09T03Z,0.0,,,1,,,46579
2018-05-09T04Z,0.001,,,1,,,46579
2018-05-09T05Z,0.05,,,1,,,46579
2018-05-09T06Z,0.203,,,1,,,46579
2018-05-09T07Z,0.379,,,1,,,46579
2018-05-09T08Z,0.556,,,1,,,46579
2018-05-09T09Z,0.65,,,1,,,46579
