timestamp,raw_value,raw_min,raw_max,samples,duplicate_count,conflict,source_id
2026-09-01T00Z,14.1,,,1,,,6981
2026-09-01T01Z,12.9,,,1,,,6981
2026-09-01T02Z,12.3,,,1,,,6981
2026-09-01T03Z,11.4,,,1,,,6981
2026-09-01T04Z,10.5,,,1,,,6981
2026-09-01T05Z,10.2,,,1,,,6981
2026-09-01T06Z,11.1,,,1,,,6981
2026-09-01T07Z,15.3,,,1,,,6981
2026-09-01T08Z,18.0,,,1,,,6981
2026-09-01T09Z,19.8,,,1,,,6981
2026-09-01T10Z,21.3,,,1,,,6981
2026-09-01T11Z,22.4,,,1,,,6981
2026-09-01T12Z,22.9,,,1,,,6981
2026-09-01T13Z,23.4,,,1,,,6981
2026-09-01T14Z,22.6,,,1,,,6981
2026-09-01T15Z,23.2,,,1,,,6981
2026-09-01T16Z,21.7,,,1,,,6981
2026-09-01T17Z,21.1,,,1,,,6981
2026-09-01T18Z,19.4,,,1,,,6981
2026-09-01T19Z,17.5,,,1,,,6981
2026-09-01T20Z,15.8,,,1,,,6981
2026-09-01T21Z,14.8,,,1,,,6981
2026-09-01T22Z,13.8,,,1,,,6981
2026-09-01T23Z,12.2,,,1,,,6981
2026-09-02T00Z,11.5,,,1,,,6981
2026-09-02T01Z,11.4,,,1,,,6981
2026-09-02T02Z,11.1,,,1,,,6981
2026-09-02T03Z,10.9,,,1,,,6981
2026-09-02T04Z,10.0,,,1,,,6981
2026-09-02T05Z,9.2,,,1,,,6981
2026-09-02T06Z,11.3,,,1,,,6981
2026-09-02T07Z,15.6,,,1,,,6981
2026-09-02T08Z,18.6,,,1,,,6981
2026-09-02T09Z,21.2,,,1,,,6981
2026-09-02T10Z,22.2,,,1,,,6981
2026-09-02T11Z,22.3,,,1,,,6981
2026-09-02T12Z,22.7,,,1,,,6981
2026-09-02T13Z,24.2,,,1,,,6981
2026-09-02T14Z,24.0,,,1,,,6981
2026-09-02T15Z,23.8,,,1,,,6981
2026-09-02T16Z,23.3,,,1,,,6981
2026-09-02T17Z,22.1,,,1,,,6981
2026-09-02T18Z,20.0,,,1,,,6981
2026-09-02T19Z,17.8,,,1,,,6981
2026-09-02T20Z,16.7,,,1,,,6981
2026-09-02T21Z,15.7,,,1,,,6981
2026-09-02T22Z,14.8,,,1,,,6981
2026-09-02T23Z,13.9,,,1,,,6981
2026-09-03T00Z,12.9,,,1,,,6981
2026-09-03T01Z,11.4,,,1,,,6981
2026-09-03T02Z,11.4,,,1,,,6981
2026-09-03T03Z,11.1,,,1,,,6981
2026-09-03T04Z,11.0,,,1,,,6981
2026-09-03T05Z,11.8,,,1,,,6981
2026-09-03T06Z,12.9,,,1,,,6981
2026-09-03T07Z,16.1,,,1,,,6981
2026-09-03T08Z,19.9,,,1,,,6981
2026-09-03T09Z,22.2,,,1,,,6981
2026-09-03T10Z,23.8,,,1,,,6981
2026-09-03T11Z,24.8,,,1,,,6981
2026-09-03T12Z,25.0,,,1,,,6981
2026-09-03T13Z,26.3,,,1,,,6981
2026-09-03T14Z,24.8,,,1,,,6981
2026-09-03T15Z,24.4,,,1,,,6981
2026-09-03T16Z,24.0,,,1,,,6981
2026-09-03T17Z,22.4,,,1,,,6981
2026-09-03T18Z,19.2,,,1,,,6981
2026-09-03T19Z,16.5,,,1,,,6981
2026-09-03T20Z,15.6,,,1,,,6981
2026-09-03T21Z,16.0,,,1,,,6981
2026-09-03T22Z,16.2,,,1,,,6981
2026-09-03T23Z,15.0,,,1,,,6981
2026-09-04T00Z,14.7,,,1,,,6981
2026-09-04T01Z,13.9,,,1,,,6981
2026-09-04T02Z,12.3,,,1,,,6981
2026-09-04T03Z,12.0,,,1,,,6981
2026-09-04T04Z,10.7,,,1,,,6981
