,wassertemp_q0.01,wassertemp_q0.05,wassertemp_q0.25,wassertemp_q0.5,wassertemp_q0.75,wassertemp_q0.95,wassertemp_q0.99,airtemp_96_q0.01,airtemp_96_q0.05,airtemp_96_q0.25,airtemp_96_q0.5,airtemp_96_q0.75,airtemp_96_q0.95,airtemp_96_q0.99,pressure_96_q0.01,pressure_96_q0.05,pressure_96_q0.25,pressure_96_q0.5,pressure_96_q0.75,pressure_96_q0.95,pressure_96_q0.99
2026-05-01 12:00:00+00:00,11.383827,11.620262,11.873774,12.026085,12.178396,12.431906,12.668342,15.383743,16.95615,18.694336,19.755703,20.81707,22.555256,24.127666,1001.9908,1003.3705,1004.8846,1005.8056,1006.7266,1008.2407,1009.6204
2026-05-01 13:00:00+00:00,11.414308,11.708885,12.015764,12.197317,12.37887,12.685749,12.980326,14.771573,16.912306,19.102665,20.385988,21.669312,23.859669,26.000404,1000.8575,1002.54736,1004.34906,1005.4283,1006.50745,1008.30914,1009.9991
2026-05-01 14:00:00+00:00,11.349319,11.715482,12.095709,12.320266,12.544822,12.925049,13.291212,13.713967,16.3966,19.053207,20.582317,22.111425,24.768034,27.450668,999.1892,1001.39435,1003.7097,1005.0852,1006.46075,1008.7761,1010.98126
2026-05-01 15:00:00+00:00,11.358665,11.755272,12.174116,12.423729,12.673342,13.092186,13.488793,12.909067,15.628166,18.441936,20.100605,21.759274,24.573044,27.292145,997.6302,1000.3955,1003.2943,1005.01495,1006.73566,1009.63446,1012.3998
2026-05-01 16:00:00+00:00,11.295601,11.739332,12.210414,12.491948,12.773483,13.244564,13.688295,12.025702,14.715006,17.67766,19.483429,21.289196,24.251846,26.941154,996.1686,999.44116,1002.9107,1004.98267,1007.0547,1010.5242,1013.79675
2026-05-01 17:00:00+00:00,11.3015175,11.76837,12.267575,12.567066,12.866556,13.365762,13.832615,11.0277405,13.644423,16.622005,18.468111,20.314217,23.291798,25.908482,995.59686,999.14435,1002.92816,1005.1952,1007.46216,1011.246,1014.7935
2026-05-01 18:00:00+00:00,11.303631,11.772697,12.281299,12.5886965,12.896094,13.4046955,13.873763,10.219774,12.729023,15.671804,17.525307,19.378807,22.321587,24.830837,994.9844,998.8688,1003.04535,1005.55835,1008.0714,1012.248,1016.1324
2026-05-01 19:00:00+00:00,11.238354,11.723195,12.254322,12.577086,12.899851,13.430977,13.915819,9.573195,11.925943,14.739687,16.529993,18.320297,21.13404,23.48679,994.5548,998.6914,1003.1918,1005.9166,1008.64154,1013.1419,1017.2785
2026-05-01 20:00:00+00:00,11.14614,11.659315,12.222837,12.565727,12.908617,13.472141,13.985315,8.442876,10.818653,13.661947,15.471712,17.281477,20.124771,22.500547,994.9395,999.14294,1003.7678,1006.5849,1009.402,1014.02686,1018.2303
2026-05-01 21:00:00+00:00,11.042077,11.579863,12.174244,12.53715,12.900057,13.494438,14.032224,7.329974,9.71386,12.535154,14.320554,16.105953,18.927248,21.311134,995.0447,999.41034,1004.19995,1007.1128,1010.0257,1014.81525,1019.18097
