,wassertemp_q0.01,wassertemp_q0.05,wassertemp_q0.25,wassertemp_q0.5,wassertemp_q0.75,wassertemp_q0.95,wassertemp_q0.99,airtemp_96_q0.01,airtemp_96_q0.05,airtemp_96_q0.25,airtemp_96_q0.5,airtemp_96_q0.75,airtemp_96_q0.95,airtemp_96_q0.99,pressure_96_q0.01,pressure_96_q0.05,pressure_96_q0.25,pressure_96_q0.5,pressure_96_q0.75,pressure_96_q0.95,pressure_96_q0.99
2026-04-19 20:00:00+00:00,10.51382,10.73775,10.975951,11.118458,11.260964,11.499166,11.723097,9.019902,10.156195,11.366049,12.090229,12.814408,14.024262,15.160555,1021.26984,1021.79395,1022.38696,1022.75354,1023.1201,1023.71313,1024.2373
2026-04-19 21:00:00+00:00,10.381772,10.650132,10.935035,11.105303,11.27557,11.5604725,11.828834,7.571409,8.914095,10.327078,11.167565,12.008053,13.421036,14.763721,1021.312,1021.9163,1022.58954,1023.0023,1023.41516,1024.0884,1024.6926
2026-04-19 22:00:00+00:00,10.194189,10.502224,10.837032,11.03965,11.242268,11.577076,11.885112,6.455653,7.854954,9.39594,10.335013,11.274086,12.815073,14.214375,1021.32886,1022.0389,1022.815,1023.2861,1023.7572,1024.5333,1025.2433
2026-04-19 23:00:00+00:00,9.977533,10.327448,10.7127075,10.947454,11.182202,11.567461,11.9173765,5.513207,6.9127345,8.512173,9.506072,10.499971,12.099409,13.498938,1021.3346,1022.14087,1023.0132,1023.5398,1024.0664,1024.9387,1025.745
2026-04-20 00:00:00+00:00,9.803967,10.174698,10.588654,10.842767,11.09688,11.510835,11.881565,4.5610948,6.0496116,7.771393,8.848086,9.92478,11.646561,13.135079,1021.25433,1022.1747,1023.1568,1023.7453,1024.3339,1025.3159,1026.2363
2026-04-20 01:00:00+00:00,9.571649,9.964816,10.413225,10.69157,10.969915,11.418324,11.811492,3.5563092,5.1477213,6.9992247,8.1605425,9.321861,11.173364,12.764777,1021.1141,1022.1509,1023.24744,1023.9015,1024.5554,1025.652,1026.6888
2026-04-20 02:00:00+00:00,9.384999,9.786964,10.252703,10.544203,10.835701,11.30144,11.703405,2.6844125,4.4097366,6.4075475,7.657543,8.907539,10.905351,12.630675,1020.8555,1022.04144,1023.278,1024.01,1024.742,1025.9786,1027.1646
2026-04-20 03:00:00+00:00,9.1733675,9.590222,10.074631,10.378279,10.681927,11.166334,11.58319,2.1316204,3.94526,6.0360794,7.3412538,8.646428,10.737247,12.550888,1020.5662,1021.8885,1023.2459,1024.0426,1024.8394,1026.1968,1027.5192
2026-04-20 04:00:00+00:00,8.975866,9.404208,9.900348,10.210822,10.5212965,11.017437,11.445779,1.8075981,3.7765303,6.0303435,7.4320593,8.833775,11.087588,13.056521,1020.20044,1021.64874,1023.1264,1023.99084,1024.8552,1026.3329,1027.7812
2026-04-20 05:00:00+00:00,8.7742195,9.221106,9.741066,10.067213,10.39336,10.913321,11.360207,1.8463316,3.9217458,6.303016,7.785818,9.2686205,11.649891,13.725306,1019.7162,1021.3118,1022.9291,1023.8717,1024.8143,1026.4316,1028.0273
2026-04-20 06:00:00+00:00,8.627084,9.07583,9.597041,9.923674,10.250307,10.771518,11.220264,2.0318928,4.2936473,6.9089193,8.544043,10.179166,12.794437,15.056195,1019.1984,1020.94006,1022.7118,1023.7466,1024.7815,1026.5532,1028.2948
2026-04-20 07:00:00+00:00,8.438893,8.907875,9.451127,9.791095,10.131063,10.6743145,11.143297,2.5687737,5.0118413,7.865218,9.658557,11.451895,14.305272,16.74834,1018.6328,1020.52747,1022.45654,1023.58374,1024.7109,1026.6399,1028.5345
2026-04-20 08:00:00+00:00,8.33905,8.804765,9.345695,9.6846895,10.023684,10.564614,11.030329,3.4113765,6.050376,9.179457,11.161562,13.143667,16.272747,18.911749,1017.9648,1020.01874,1022.1064,1023.32513,1024.544,1026.6316,1028.6855
2026-04-20 09:00:00+00:00,8.229822,8.717122,9.278266,9.62835,9.978434,10.539578,11.026878,4.231003,7.0676003,10.467485,12.6332,14.798912,18.198797,21.0354,1017.3353,1019.52734,1021.7708,1023.08545,1024.4001,1026.6436,1028.8356
2026-04-20 10:00:00+00:00,8.188118,8.68018,9.245398,9.597564,9.94973,10.514948,11.00701,5.2385087,8.20368,11.801715,14.108274,16.414833,20.012867,22.978039,1016.65326,1019.0082,1021.41956,1022.83295,1024.2463,1026.6577,1029.0127
2026-04-20 11:00:00+00:00,8.187304,8.680053,9.239451,9.585854,9.932256,10.491654,10.984405,5.768987,8.9516325,12.86546,15.391769,17.91808,21.831905,25.014553,1016.0783,1018.5477,1021.08575,1022.5764,1024.0671,1026.6051,1029.0746
2026-04-20 12:00:00+00:00,8.204308,8.696866,9.251142,9.592787,9.934431,10.488708,10.981266,6.5482554,9.75148,13.744086,16.339123,18.934162,22.92677,26.129993,1015.4283,1018.05865,1020.75476,1022.33594,1023.9171,1026.6133,1029.2437
