River,Horizon,Configuration,MAE (Mean),CRPS (Mean)
Eisbach,24,Univariate,0.49806134259259255,0.6430957031250001
Eisbach,24,+ Luft (Past),0.481495949074074,0.5891861979166667
Eisbach,24,+ Luft (Past+Future),0.4186342592592591,0.5552300347222222
Eisbach,24,+ Fluss (Past),0.48457754629629624,0.6150423177083334
Eisbach,24,+ Fluss+Luft (Past),0.47562210648148145,0.5820768229166667
Eisbach,24,+ Fluss+Luft (Past+Future),0.3856626157407406,0.5723263888888889
Eisbach,96,Univariate,0.7637966579861111,1.315216742621528
Eisbach,96,+ Luft (Past),0.7682987919560186,1.1989084201388889
Eisbach,96,+ Luft (Past+Future),0.8159288194444444,0.9765576171874999
Eisbach,96,+ Fluss (Past),0.7734022352430556,1.2568910047743056
Eisbach,96,+ Fluss+Luft (Past),0.7907217520254629,1.1735866970486113
Eisbach,96,+ Fluss+Luft (Past+Future),0.7576931423611111,1.0094737413194446
Isar,24,Univariate,0.4598958333333334,0.5479253472222222
Isar,24,+ Luft (Past),0.4634693287037037,0.5021440972222222
Isar,24,+ Luft (Past+Future),0.3713686342592593,0.4983094618055555
Isar,24,+ Fluss (Past),0.4674623842592592,0.5337239583333334
Isar,24,+ Fluss+Luft (Past),0.47790798611111107,0.4804535590277778
Isar,24,+ Fluss+Luft (Past+Future),0.37942708333333336,0.4659244791666666
Isar,96,Univariate,0.8000542534722221,1.0481941731770834
Isar,96,+ Luft (Past),0.8081841362847223,1.0226812065972222
Isar,96,+ Luft (Past+Future),0.8205114293981483,0.7840288628472222
Isar,96,+ Fluss (Past),0.7699173538773149,1.079133029513889
Isar,96,+ Fluss+Luft (Past),0.7773989076967593,1.0135454644097224
Isar,96,+ Fluss+Luft (Past+Future),0.78232421875,0.80489013671875
